UT Start,Parallactic Angle (deg),Hour Angle (deg),Altitude (deg)
10:00:00,28.80261260948001,344.03192670348903,57.550256501752706
10:10:00,24.583045108381672,346.5387714768661,58.27633674543541
10:20:00,20.220067348252602,349.0456162502431,58.892342303495106
10:30:00,15.730599552216981,351.5524610236201,59.39119149711247
10:40:00,11.136908554366526,354.05930579699714,59.76673596376283
10:50:00,6.4661274431311275,356.56615057037413,60.01408279597995
11:00:00,1.7492659881302042,359.07299534375113,60.129877636168466
11:10:00,-2.980233370285195,1.5798401171281506,60.11251272959207
11:20:00,-7.688245707007233,4.086684890505192,59.96223072950459
11:30:00,-12.341802523751845,6.5935296638821805,59.68110885952397
11:40:00,-16.910781044272117,9.100374437259195,59.27292581655941
11:50:00,-21.369240568004518,11.607219210636238,58.74293095049102
12:00:00,-25.696280813879156,14.114063984013224,58.097547439907004
12:10:00,-29.87639215880818,16.620908757390215,57.344045952413445
12:20:00,-33.89935145551631,19.127753530767283,56.490222743673094
12:30:00,-37.759771315687864,21.63459830414427,55.544108446324366
12:40:00,-41.456430637556295,24.14144307752126,54.51372388006195
12:50:00,-44.99150600603908,26.6482878508983,53.406889688478785
13:00:00,-48.36979874513539,29.15513262427529,52.23108910717645
13:10:00,-51.598021904594376,31.661977397652304,50.9933782709081
13:20:00,-54.68418310976546,34.16882217102935,49.70033598817999
13:30:00,-57.63707696189142,36.67566694440636,48.35804427443952
13:40:00,-60.46588551154578,39.18251171778338,46.972091480954276
13:50:00,-63.179876437762594,41.68935649116039,45.54759102036701
14:00:00,-65.78818442704086,44.19620126453741,44.08921006535527
14:10:00,-68.29966028493364,46.70304603791442,42.601203933154274
14:20:00,-70.72277322305419,49.20989081129144,41.087453036932814
14:30:00,-73.06555360140258,51.7167355846684,39.55150023804938
14:40:00,-75.33556555619558,54.22358035804547,37.99658717211425
14:50:00,-77.53990104895689,56.73042513142248,36.42568867159957
15:00:00,-79.68518875240754,59.23726990479944,34.8415448022678
