UT Start,Parallactic Angle (deg),Hour Angle (deg),Altitude (deg)
10:00:00,-42.32232119656685,3.3199267034890734,85.3640768071394
10:10:00,-58.502981798054506,5.826771476866089,83.57614737555794
10:20:00,-67.49215633278301,8.333616250243077,81.52222054837252
10:30:00,-73.09566943256682,10.840461023620119,79.35555218813828
10:40:00,-76.95028625284226,13.347305796997107,77.13339860839804
10:50:00,-79.80766409965032,15.854150570374122,74.8806670819001
11:00:00,-82.04956559182058,18.360995343751135,72.6097265213938
11:10:00,-83.88766835858489,20.86784011712815,70.32739443287088
11:20:00,-85.44800378908612,23.374684890505193,68.03775452507688
11:30:00,-86.81006034094871,25.88152966388218,65.74342711371088
11:40:00,-88.02639742706062,28.388374437259195,63.44619586245398
11:50:00,-89.13316670750642,30.895219210636238,61.14734042232058
12:00:00,89.84391728955855,33.402063984013225,58.84782395951986
12:10:00,88.88602404380346,35.908908757390215,56.548404387582586
12:20:00,87.97900511425782,38.41575353076728,54.24970329625378
12:30:00,87.11198105715836,40.92259830414427,51.952250348860176
12:40:00,86.27640656027846,43.429443077521256,49.656512901731034
12:50:00,85.46543515337922,45.9362878508983,47.36291642861768
13:00:00,84.67347706658965,48.443132624275286,45.07185906588839
13:10:00,83.89588482118504,50.949977397652304,42.783722313516016
13:20:00,83.12872521439219,53.456822171029344,40.498879178530316
13:30:00,82.3686109179498,55.96366694440636,38.21770059717652
13:40:00,81.61257394836905,58.470511717783374,35.94056069374991
13:50:00,80.85796901325656,60.977356491160386,33.66784125821639
14:00:00,80.10239847109273,63.4842012645374,31.399935711418504
14:10:00,79.34365311483845,65.99104603791442,29.137252752508495
14:20:00,78.57966465748135,68.49789081129143,26.88021983415982
14:30:00,77.80846694087437,71.0047355846684,24.62928657842999
14:40:00,77.02816368482829,73.51158035804546,22.384928224448366
14:50:00,76.23690115494904,76.01842513142248,20.147649184912915
15:00:00,75.43284452936604,78.52526990479943,17.91798677944426
